time,temp,feels_like,pressure
2022-03-02 00:00:00,-0.410000000000025,-4.899999999999977,1021
2022-03-02 01:00:00,-0.410000000000025,-4.899999999999977,1021
2022-03-02 02:00:00,-0.410000000000025,-4.899999999999977,1021
2022-03-02 03:00:00,-0.410000000000025,-4.899999999999977,1021
2022-03-02 04:00:00,-0.410000000000025,-4.899999999999977,1021
2022-03-02 05:00:00,-0.410000000000025,-4.899999999999977,1021
2022-03-02 06:00:00,-0.410000000000025,-4.899999999999977,1021
2022-03-02 07:00:00,0.0199999999999818,-4.389999999999986,1021
2022-03-02 08:00:00,0.25,-3.95999999999998,1021
2022-03-02 09:00:00,0.6700000000000159,-3.490000000000009,1020
2022-03-02 10:00:00,1.25,-2.7799999999999727,1020
2022-03-02 11:00:00,1.5699999999999932,-2.4599999999999795,1020
2022-03-02 12:00:00,1.6000000000000227,-2.269999999999982,1019
2022-03-02 13:00:00,1.7200000000000273,-1.9399999999999975,1018
2022-03-02 14:00:00,1.3700000000000043,-2.319999999999993,1018
2022-03-02 15:00:00,0.1499999999999772,-3.910000000000025,1018
2022-03-02 16:00:00,-0.7900000000000205,-5.189999999999998,1017
2022-03-02 17:00:00,-0.6899999999999977,-5.470000000000027,1007
2022-03-02 18:00:00,-0.5699999999999932,-5.319999999999993,1008
2022-03-02 19:00:00,-0.8100000000000023,-5.6200000000000045,1005
2022-03-02 20:00:00,-1.3100000000000025,-5.509999999999991,1007
2022-03-02 21:00:00,-1.660000000000025,-5.939999999999998,1007
2022-03-02 22:00:00,-2.180000000000007,-5.6200000000000045,1006
2022-03-02 23:00:00,-2.420000000000016,-5.899999999999977,1006
2022-03-03 00:00:00,-2.7900000000000205,-6.45999999999998,1005
2022-03-03 01:00:00,-3.0299999999999727,-6.240000000000009,1005
2022-03-03 02:00:00,-3.319999999999993,-6.579999999999984,1005
2022-03-03 03:00:00,-3.680000000000007,-7.399999999999977,1013
2022-03-03 04:00:00,-3.300000000000012,-6.560000000000002,1005
2022-03-03 05:00:00,-2.9399999999999977,-7.079999999999984,1005
2022-03-03 06:00:00,-2.6200000000000045,-6.699999999999989,1006
2022-03-03 07:00:00,-1.6999999999999886,-5.990000000000009,1014
2022-03-03 08:00:00,-0.2799999999999727,-4.560000000000002,1006
2022-03-03 09:00:00,1.2200000000000273,-2.7799999999999727,1007
2022-03-03 10:00:00,2.1000000000000227,-2.2799999999999727,1007
2022-03-03 11:00:00,2.8999999999999773,-1.2699999999999818,1015
2022-03-03 12:00:00,3.70999999999998,-0.9300000000000068,1014
2022-03-03 13:00:00,3.829999999999984,-0.9599999999999796,1016
2022-03-03 14:00:00,3.519999999999982,-1.5500000000000114,1015
2022-03-03 15:00:00,2.829999999999984,-1.839999999999975,1015
2022-03-03 16:00:00,1.1100000000000136,-3.7799999999999727,1006
2022-03-03 17:00:00,0.4800000000000182,-3.6899999999999977,1009
2022-03-03 18:00:00,-0.4700000000000273,-5.189999999999998,1010
2022-03-03 19:00:00,-1.089999999999975,-5.970000000000027,1011
2022-03-03 20:00:00,-1.5500000000000114,-6.189999999999998,1012
2022-03-03 21:00:00,-2.1899999999999977,-6.980000000000018,1012
2022-03-03 22:00:00,-2.589999999999975,-7.470000000000027,1013
2022-03-03 23:00:00,-3.4499999999999886,-8.120000000000005,1013
2022-03-04 00:00:00,-4.160000000000025,-8.980000000000018,1013
2022-03-04 01:00:00,-4.800000000000011,-9.759999999999993,1013
2022-03-04 02:00:00,-5.160000000000025,-10.639999999999986,1014
2022-03-04 03:00:00,-5.569999999999993,-11.139999999999986,1014
2022-03-04 04:00:00,-6.189999999999998,-11.0,1014
2022-03-04 05:00:00,-6.829999999999984,-11.730000000000018,1015
2022-03-04 06:00:00,-6.75,-12.139999999999986,1015
2022-03-04 07:00:00,-5.20999999999998,-10.699999999999989,1016
2022-03-04 08:00:00,-3.629999999999996,-8.759999999999991,1016
